"platform","trial","cover_name","payload_size_bytes","cover_width","cover_height","delivered_width","delivered_height","success","ber","failure_reason","timestamp"
"twitter","38","twitter/HRyjWhRa0AAEWfi.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:19:30.826966+00:00"
"twitter","39","twitter/HRyjR5na0AAXdJM.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:19:38.487389+00:00"
"twitter","40","twitter/HRyjM21aIAAZlgF.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:19:42.862130+00:00"
"twitter","41","twitter/HRyjI2daoAAByvx.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:19:48.526302+00:00"
"twitter","42","twitter/HRyjFsMaQAA0s1F.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:19:53.890664+00:00"
"twitter","43","twitter/HRyjA3vb0AAGSF9.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:20:01.471550+00:00"
"twitter","44","twitter/HRyi83kaEAE3XxP.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:20:05.606319+00:00"
"twitter","45","twitter/HRyi4hZb0AEz4ME.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T06:20:10.169265+00:00"
"instagram","1","instagram/811405291_17971878552136343_8081434845715214004_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:12:18.492817+00:00"
"instagram","2","instagram/811203264_17971878456136343_4615038481509844492_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:12:26.968347+00:00"
"instagram","3","instagram/811170298_17971878429136343_5168258122696570803_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:12:33.739083+00:00"
"instagram","4","instagram/811266987_17971878399136343_4656465642536628973_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:12:55.985222+00:00"
"instagram","5","instagram/811266962_17971878342136343_1193006750027364308_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:12:59.781841+00:00"
"instagram","6","instagram/811962599_17971878318136343_6113997639241217410_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:03.983489+00:00"
"instagram","7","instagram/811501532_17971878120136343_2566680133977745949_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:08.119604+00:00"
"instagram","8","instagram/811437732_17971878096136343_8080988162605782948_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:13.238414+00:00"
"instagram","9","instagram/811664961_17971877871136343_398803565071499187_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:18.081849+00:00"
"instagram","10","instagram/811303984_17971877847136343_4946005802782168322_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:23.690829+00:00"
"instagram","11","instagram/811170286_17971877829136343_1846786985064614617_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:30.612216+00:00"
"instagram","12","instagram/811170453_17971877796136343_5572003323320179554_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:36.859187+00:00"
"instagram","13","instagram/811501521_17971877772136343_7092683927237594738_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:50.559422+00:00"
"instagram","14","instagram/811102753_17971877658136343_2656203500795816714_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:13:55.870724+00:00"
"instagram","15","instagram/811267004_17971877613136343_4518931020048857900_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:01.016328+00:00"
"instagram","16","instagram/811340307_17971877589136343_6103100989257750592_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:07.029020+00:00"
"instagram","17","instagram/811266958_17971877553136343_4738833091577311965_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:11.851719+00:00"
"instagram","18","instagram/811102740_17971877529136343_199371246325947915_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:16.726384+00:00"
"instagram","19","instagram/811102753_17971877412136343_8011346922216857633_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:21.912995+00:00"
"instagram","20","instagram/811340471_17971877193136343_8750889932720319695_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:29.205657+00:00"
"instagram","21","instagram/811616517_17971877142136343_6561392150720658485_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:36.458220+00:00"
"instagram","22","instagram/811665111_17971877109136343_617514327109002088_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:44.568314+00:00"
"instagram","23","instagram/811304002_17971877082136343_2403569227400705302_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:14:49.817979+00:00"
"instagram","24","instagram/811340297_17971877022136343_584819800398418529_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:04.787059+00:00"
"instagram","25","instagram/811437746_17971876992136343_1105991665419815235_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:11.094691+00:00"
"instagram","26","instagram/811501500_17971876950136343_5385686350223307039_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:17.534183+00:00"
"instagram","27","instagram/811373870_17971876893136343_8189559168272056106_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:24.448645+00:00"
"instagram","28","instagram/811236192_17971876857136343_3750366517038332847_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:31.510660+00:00"
"instagram","29","instagram/811373961_17971876641136343_4313442639542815294_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:37.791764+00:00"
"instagram","30","instagram/811267001_17971876587136343_9219845889656186332_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:45.010022+00:00"
"instagram","31","instagram/811267012_17971876443136343_462910271305259259_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:51.728309+00:00"
"instagram","32","instagram/811864883_17971876419136343_1686591295595168853_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:15:57.884153+00:00"
"instagram","33","instagram/811616662_17971876392136343_290738271581215084_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:03.509217+00:00"
"instagram","34","instagram/811437656_17971876350136343_5002703847015175211_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:10.208512+00:00"
"instagram","35","instagram/811266999_17971876179136343_5933032144926883087_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:14.388770+00:00"
"instagram","36","instagram/811266984_17971876122136343_2361932684754194891_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:18.591602+00:00"
"instagram","37","instagram/811203228_17971876053136343_2224135332122719202_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:23.096657+00:00"
"instagram","38","instagram/811266957_17971876017136343_6368180465918423643_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:27.174500+00:00"
"instagram","39","instagram/811711054_17971875978136343_8502147139606074807_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:34.834923+00:00"
"instagram","40","instagram/811616511_17971875648136343_5024665215446974597_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:39.209664+00:00"
"instagram","41","instagram/811373918_17971875354136343_6687492423437490362_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:44.873836+00:00"
"instagram","42","instagram/811616521_17971875294136343_5896452003808531812_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:50.238198+00:00"
"instagram","43","instagram/811616660_17971874838136343_2120345678897765774_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:16:57.819084+00:00"
"instagram","44","instagram/811137843_17971874781136343_8122804405801691741_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:17:01.953853+00:00"
"instagram","45","instagram/811830386_17971874754136343_7108310294687396674_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T08:17:06.516799+00:00"
"whatsapp_image","1","whatsapp_image/811405291_17971878552136343_8081434845715214004_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:05:41.621948+00:00"
"whatsapp_image","2","whatsapp_image/811203264_17971878456136343_4615038481509844492_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:05:50.097478+00:00"
"whatsapp_image","3","whatsapp_image/811170298_17971878429136343_5168258122696570803_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:05:56.868214+00:00"
"whatsapp_image","4","whatsapp_image/811266987_17971878399136343_4656465642536628973_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:19.114353+00:00"
"whatsapp_image","5","whatsapp_image/811266962_17971878342136343_1193006750027364308_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:22.910972+00:00"
"whatsapp_image","6","whatsapp_image/811962599_17971878318136343_6113997639241217410_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:27.112620+00:00"
"whatsapp_image","7","whatsapp_image/811501532_17971878120136343_2566680133977745949_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:31.248735+00:00"
"whatsapp_image","8","whatsapp_image/811437732_17971878096136343_8080988162605782948_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:36.367545+00:00"
"whatsapp_image","9","whatsapp_image/811664961_17971877871136343_398803565071499187_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:41.210980+00:00"
"whatsapp_image","10","whatsapp_image/811303984_17971877847136343_4946005802782168322_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:46.819960+00:00"
"whatsapp_image","11","whatsapp_image/811170286_17971877829136343_1846786985064614617_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:53.741347+00:00"
"whatsapp_image","12","whatsapp_image/811170453_17971877796136343_5572003323320179554_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:06:59.988318+00:00"
"whatsapp_image","13","whatsapp_image/811501521_17971877772136343_7092683927237594738_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:07:13.688553+00:00"
"whatsapp_image","14","whatsapp_image/811102753_17971877658136343_2656203500795816714_n.jpg","100","","","","","False","1.00000000","fixed_grid_extraction_failed","2026-09-15T09:07:18.999855+00:00"
